1,あわびのオイスターソース煮込み,,928
2,かに肉と青梗菜のクリーム煮込み,,598
3,タチウオ四川風炒め,（小）,880
4,タチウオ四川風炒め,（大）,1180
5,にんにくの芽と蜂の巣の四川風炒め,,598
6,フカヒレスープ,,1280
7,ふかひれ姿煮込み,（小）,1860
8,ふかひれ姿煮込み,（大）,2580
9,むしホタテにんにく風味,,788
10,伊勢海老チリ or マヨ,,2588
11,海鮮いため,,898
12,海鮮入りおこげ,,898
13,海老サラダ,,598
14,海老チリソース,,698
15,海老マヨネーズ,,698
16,活アゲマキ貝とニンニクの芽炒め,（小）,980
17,活アゲマキ貝とニンニクの芽炒め,（大）,1280
18,活カキ入りチヂミ,（小）,880
19,活カキ入りチヂミ,（大）,1000
20,干し海老白菜芯炒め,,498
21,牛肉と生椎茸オイスタソース炒め,,698
22,黒胡椒入り鳥唐揚げ,,498
23,黒酢いり広東風キムチ,,398
24,蒸し豚肉の辛ソース,,598
25,赤酒粕入り豚バラ煮込みと花巻挟み,（小）,680
26,赤酒粕入り豚バラ煮込みと花巻挟み,（大）,980
27,ジャージャーメン,,550
28,ビーフン五目炒め,（小）,880
29,ビーフン五目炒め,（大）,1180
30,豚スペアリブ唐揚げ特製ソースかけ,（小）,880
31,豚スペアリブ唐揚げ特製ソースかけ,（大）,1180
32,豚足とろけるほど醤油煮込み,,398
33,軟らかい豚バラ煮込み,,598
34,北京ダック,,625
