ID,score
501,190.5
502,159.8
503,160.2
504,208.4
505,227.4
506,210.6
507,199.7
508,193.4
509,230.5
510,168
511,194.7
512,212.7
513,225.6
514,226.8
515,164.9
516,183.5
517,156.9
518,231
519,221
520,210.3
521,221.3
522,155.9
523,192.2
524,201.3
525,192.2
526,223.7
527,194
528,186.3
529,196.1
530,140
531,216.5
532,231.3
533,214
534,172.6
535,193.9
536,227.6
537,198.6
538,177.1
539,172.6
540,194.5
541,216
542,226.7
543,206.8
544,205.4
545,204.8
546,230.4
547,185.3
548,193.6
549,187.8
550,187.6
551,193.8
552,192.5
553,189.1
554,223.3
555,173.5
556,154.6
557,187.6
558,212.5
559,232
560,171.8
561,140.3
562,232.7
563,237.8
564,172.3
565,207.6
566,190.6
567,226.4
568,186.6
569,186
570,215.9
571,198.4
572,219.4
573,170.5
574,174.1
575,176.7
576,177.6
577,179.7
578,181.7
579,203.1
580,172.5
581,222.4
582,209.8
583,202.4
584,166
585,203.8
586,231.1
587,193
588,147.6
589,206.2
590,192.7
591,197.1
592,169.9
593,170
594,179.6
595,204
596,174.6
597,198.9
598,196.1
599,224.9
600,258.6
601,165.6
602,174.7
603,171.6
604,182.3
605,214.9
606,202.9
607,188.5
608,190.8
609,174.4
610,226.5
611,194.4
612,156.9
613,221
614,180.1
615,205.6
616,216.9
617,212.6
618,200.4
619,181.4
620,208.8
621,193.8
622,207.9
623,236
624,189.6
625,213.4
626,203.8
627,207.9
628,218.4
629,180.5
630,186.3
631,218.8
632,234.1
633,218.2
634,193
635,194.5
636,170.7
637,171.1
638,200.6
639,160.2
640,215.9
