no,x1,x2,x3,y
0,0.412,3.968,3.083,-0.764
1,2.562,4.609,0.683,-0.648
2,0.874,4.577,2.704,1.005
3,0.869,3.275,4.463,0.200
4,1.326,4.764,4.729,0.212
5,4.277,0.395,1.396,-0.800
6,2.451,1.385,1.401,-0.880
7,2.298,1.977,2.789,-0.638
8,4.197,2.74,2.978,1.013
9,3.589,2.884,3.355,0.466
10,4.154,0.297,2.993,0.651
11,2.478,1.446,1.939,-0.572
12,4.509,1.701,3.902,-0.802
13,3.798,0.302,2.952,0.976
14,3.995,1.753,2.072,-0.055
15,1.767,3.625,0.537,0.622
16,3.938,1.817,0.634,1.036
17,2.608,1.262,3.811,1.121
18,2.838,2.188,0.465,1.024
19,0.043,2.038,4.912,-0.521
20,0.418,1.037,0.265,0.893
21,2.89,3.013,2.315,0.792
22,0.996,0.084,0.706,0.635
23,2.664,0.458,1.464,0.585
24,3.664,4.141,4.427,1.056
25,1.993,1.181,4.412,0.374
26,1.595,0.925,0.267,-0.315
27,4.851,3.892,3.998,-0.070
28,1.596,1.188,4.716,-0.405
29,2.982,3.407,2.504,1.020
30,4.96,3.983,2.439,-0.743
31,1.773,2.996,1.65,0.221
32,4.378,1.893,1.866,0.896
33,2.247,4.214,3.31,1.186
34,1.056,0.075,1.955,-0.451
35,0.469,0.282,3.921,-0.170
36,3.364,4.257,0.573,-0.466
37,2.705,4.087,2.357,0.459
38,2.17,4.89,1.735,-0.798
39,0.542,3.055,3.462,-0.101
40,4.143,2.683,4.808,-0.592
41,3.452,0.19,1.81,0.585
42,0.983,2.59,3.29,0.119
43,3.096,3.32,1.565,0.771
44,4.213,3.424,1.456,-0.655
45,1.201,2.944,4.996,0.832
46,1.07,3.268,1.791,-0.238
47,3.573,2.129,2.994,-0.645
48,2.415,4.957,4.723,1.017
49,3.884,3.887,2.067,-0.668
50,2.816,2.987,2.272,0.774
51,1.96,3.896,1.799,1.001
52,4.061,1.488,1.956,-0.243
53,1.344,0.432,3.304,-0.650
54,3.09,2.34,4.071,-0.781
55,3.358,2.624,1.849,1.015
56,0.096,0.52,2.55,-0.810
57,3.124,1.548,3.133,-0.355
58,2.367,0.749,0.254,-0.797
59,3.722,2.139,1.716,0.817
60,0.813,0.786,2.407,0.317
61,4.423,3.308,1.746,-0.630
62,0.734,0.746,0.67,1.177
63,0.161,0.59,4.192,-0.265
64,4.242,1.615,4.446,-0.489
65,1.054,4.307,5,-0.852
66,0.884,3.707,2.856,-0.494
67,0.476,1.186,2.576,0.485
68,2.748,2.995,3.483,-0.343
69,4.047,1.621,1.564,0.381
70,4.418,1.027,2.949,-0.816
71,3.13,3.751,4.455,0.693
72,1.886,3.892,2.552,0.995
73,4.845,3.397,4.459,1.011
74,3.899,3.661,4.6,0.919
75,0.501,0.507,3.153,-0.958
76,1.719,4.207,3.825,0.457
77,4.579,3.718,1.978,-0.998
78,3.04,1.092,4.422,1.178
79,0.816,1.989,1.973,0.271
80,1.651,0.487,1.913,0.896
81,3.122,4.486,0.84,-0.521
82,1.633,1.252,1.198,0.060
83,4.448,2.189,2.537,0.923
84,0.465,3.84,2.811,-0.732
85,1.832,1.853,4.725,1.041
86,4.76,4.489,1.731,0.497
87,0.896,1.06,3.371,-0.108
88,1.712,1.268,1.572,0.188
89,4.795,2.328,1.337,0.499
90,2.188,1.205,0.551,-0.949
91,1.294,4.076,1.47,1.036
92,4.421,3.567,1.016,-0.860
93,1.377,3.598,4.491,-0.882
94,3.989,1.294,4.916,0.746
95,4.634,3.049,2.74,0.508
96,2.607,2.629,1.115,0.992
97,2.832,2.919,0.16,0.375
98,3.155,3.042,4.547,-0.800
99,3.435,1.042,0.748,-0.643
100,4.05,4.195,0.209,0.648
101,3.089,4.418,4.131,0.915
102,0.27,1.922,3.633,0.685
103,1.321,3.28,4.44,-0.362
104,0.224,4.945,2.229,1.083
105,4.986,2.282,0.19,-0.604
106,2.609,3.605,3.609,0.484
107,3.05,3.808,1.159,-0.554
108,1.302,3.691,4.623,-0.911
109,2.869,3.883,2.968,1.111
110,0.676,2.265,0.434,-0.868
111,0.205,1.328,3.579,-0.543
112,2.174,0.762,0.246,-0.490
113,0.267,4.212,4.361,-0.863
114,3.743,0.128,2.151,0.688
115,2.32,1.616,1.337,-0.912
116,0.288,4.969,3.772,0.230
117,3.532,1.765,2.988,-0.963
118,3.983,4.554,4.573,0.283
119,3.955,1.18,1.254,-0.380
120,2.08,4.3,2.427,0.843
121,3.697,4.339,1.137,-0.435
122,2.818,3.882,0.436,-0.775
123,2.796,4.211,4.807,0.753
124,3.35,1.912,0.578,0.972
125,2.087,3.501,4.206,-0.732
126,3.01,0.885,0.523,-0.917
127,1.308,1.075,1.818,1.108
128,4.363,1.821,2.558,0.088
129,3.364,3.465,3.452,1.035
130,4.76,0.277,4.933,1.023
131,3.679,0.496,4.581,0.893
132,0.832,1.288,0.685,0.290
133,3.43,3.547,0.468,-0.784
134,0.982,0.576,2.687,-0.213
135,4.707,1.815,2.591,0.490
136,3.262,3.388,0.961,-0.254
137,3.146,0.769,1.837,-0.144
138,4.649,4.57,4.018,-0.923
139,1.449,4.202,2,1.003
140,1.702,2.188,2.588,-0.437
141,0.156,0.766,0.394,1.009
142,4.127,4.629,1.82,-0.109
143,4.437,0.805,1.395,-0.674
144,2.582,2.193,1.237,0.015
145,2.543,4.157,4.381,0.818
146,0.161,2.887,3.88,0.986
147,2.896,0.49,4.643,0.013
148,1.627,4.966,3.871,1.035
149,0.646,4.358,0.265,0.205
150,1.183,4.907,4.339,0.656
151,1.37,0.226,2.882,-0.521
152,0.677,0.578,1.897,0.266
153,4.772,1.404,1.215,1.043
154,4.928,1.222,1.382,0.734
155,0.137,1.435,1.944,1.018
156,2.914,1.651,1.706,-0.789
157,0.144,2.124,3.663,0.866
158,3.503,3.187,4.903,-0.373
159,3.42,4.96,2.466,-0.737
160,2.679,3.979,3.423,1.041
161,3.262,3.922,1.302,-0.776
162,1.656,4.133,2.692,0.965
163,0.361,2.75,2.134,-0.490
164,4.255,0.36,2.694,0.187
165,3.664,3.374,2.956,1.066
166,3.887,4.838,4.646,-0.115
167,4.952,4.21,4.921,0.075
168,3.582,3.987,2.594,-0.070
169,0.351,3.647,1.451,0.046
170,2.712,3.654,2.913,1.169
171,1.812,4.048,2.403,1.035
